"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","staPresMean","staPresMinimum","staPresMaximum","staPresVariance","staPresNumPts","staPresExpUncert","staPresStdErMean","staPresFinalQF","corPres","corPresExpUncert","corPresFinalQF"
"D06","UKFS","000","025","2018-02-01T00:00:00Z","2018-02-01T00:30:00Z",96.53973,96.52217,96.55161,4e-05,180,0.01723,0.00047,0,100.4458,0.01946,0
"D06","UKFS","000","025","2018-02-01T00:30:00Z","2018-02-01T01:00:00Z",96.5828,96.55161,96.60068,0.00021,180,0.01733,0.00107,0,100.4947,0.01958,0
"D06","UKFS","000","025","2018-02-01T01:00:00Z","2018-02-01T01:30:00Z",96.60952,96.60068,96.62031,1e-05,180,0.01721,0.00023,0,100.52936,0.01949,0
"D06","UKFS","000","025","2018-02-01T01:30:00Z","2018-02-01T02:00:00Z",96.63094,96.6105,96.64975,7e-05,180,0.01724,0.00061,0,100.55833,0.01955,0
"D06","UKFS","000","025","2018-02-01T02:00:00Z","2018-02-01T02:30:00Z",96.63334,96.63012,96.63994,2e-05,180,0.01721,0.00034,0,100.56773,0.01952,0
"D06","UKFS","000","025","2018-02-01T02:30:00Z","2018-02-01T03:00:00Z",96.6455,96.62031,96.66938,2e-04,180,0.01733,0.00105,0,100.58611,0.01963,0
"D06","UKFS","000","025","2018-02-01T03:00:00Z","2018-02-01T03:30:00Z",96.68808,96.66938,96.70863,0.00015,180,0.0173,0.00092,0,100.63519,0.0196,0
"D06","UKFS","000","025","2018-02-01T03:30:00Z","2018-02-01T04:00:00Z",96.71534,96.70863,96.72825,6e-05,180,0.01724,0.00059,0,100.66694,0.01954,0
"D06","UKFS","000","025","2018-02-01T04:00:00Z","2018-02-01T04:30:00Z",96.73147,96.71845,96.73807,4e-05,180,0.01723,0.00049,0,100.68591,0.01953,0
"D06","UKFS","000","025","2018-02-01T04:30:00Z","2018-02-01T05:00:00Z",96.73409,96.72825,96.7577,4e-05,180,0.01723,0.00049,0,100.69081,0.01952,0
"D06","UKFS","000","025","2018-02-01T05:00:00Z","2018-02-01T05:30:00Z",96.75056,96.74788,96.76751,3e-05,180,0.01722,0.00039,0,100.70966,0.01952,0
"D06","UKFS","000","025","2018-02-01T05:30:00Z","2018-02-01T06:00:00Z",96.7421,96.73807,96.76751,4e-05,180,0.01723,0.00048,0,100.70488,0.01953,0
"D06","UKFS","000","025","2018-02-01T06:00:00Z","2018-02-01T06:30:00Z",96.73485,96.72825,96.74788,4e-05,180,0.01723,0.00048,0,100.69911,0.01953,0
"D06","UKFS","000","025","2018-02-01T06:30:00Z","2018-02-01T07:00:00Z",96.74592,96.73807,96.7577,5e-05,180,0.01723,0.00052,0,100.7136,0.01954,0
"D06","UKFS","000","025","2018-02-01T07:00:00Z","2018-02-01T07:30:00Z",96.7481,96.73807,96.7577,2e-05,180,0.01722,0.00037,0,100.71618,0.01952,0
"D06","UKFS","000","025","2018-02-01T07:30:00Z","2018-02-01T08:00:00Z",96.76664,96.73807,96.78714,2e-04,180,0.01733,0.00104,0,100.73637,0.01962,0
"D06","UKFS","000","025","2018-02-01T08:00:00Z","2018-02-01T08:30:00Z",96.83173,96.78714,96.88527,0.00083,180,0.01773,0.00215,0,100.79766,0.02,0
"D06","UKFS","000","025","2018-02-01T08:30:00Z","2018-02-01T09:00:00Z",96.86793,96.84601,96.88527,5e-05,180,0.01723,0.00055,0,100.8154,0.01948,0
"D06","UKFS","000","025","2018-02-01T09:00:00Z","2018-02-01T09:30:00Z",96.89998,96.87545,96.94414,0.00047,180,0.0175,0.00161,0,100.85329,0.01975,0
"D06","UKFS","000","025","2018-02-01T09:30:00Z","2018-02-01T10:00:00Z",96.98857,96.93433,97.02264,0.00078,180,0.01769,0.00208,0,100.95422,0.01996,0
"D06","UKFS","000","025","2018-02-01T10:00:00Z","2018-02-01T10:30:00Z",97.01637,96.99321,97.05208,0.00024,180,0.01735,0.00115,0,100.99512,0.01963,0
"D06","UKFS","000","025","2018-02-01T10:30:00Z","2018-02-01T11:00:00Z",97.06931,97.04227,97.10115,0.00025,180,0.01736,0.00117,0,101.05948,0.01964,0
"D06","UKFS","000","025","2018-02-01T11:00:00Z","2018-02-01T11:30:00Z",97.14873,97.09133,97.17964,0.00058,180,0.01757,0.00179,0,101.15348,0.01981,0
"D06","UKFS","000","025","2018-02-01T11:30:00Z","2018-02-01T12:00:00Z",97.21453,97.16983,97.24833,0.00066,180,0.01762,0.00191,0,101.24013,0.0198,0
"D06","UKFS","000","025","2018-02-01T12:00:00Z","2018-02-01T12:30:00Z",97.2981,97.23852,97.33664,0.00061,180,0.01759,0.00184,0,101.34328,0.01978,0
"D06","UKFS","000","025","2018-02-01T12:30:00Z","2018-02-01T13:00:00Z",97.37109,97.31702,97.43475,0.00131,180,0.01802,0.00269,0,101.42795,0.02022,0
"D06","UKFS","000","025","2018-02-01T13:00:00Z","2018-02-01T13:30:00Z",97.46517,97.41513,97.51325,0.00065,180,0.01761,0.0019,0,101.53552,0.01984,0
"D06","UKFS","000","025","2018-02-01T13:30:00Z","2018-02-01T14:00:00Z",97.54083,97.50344,97.59174,0.00071,180,0.01765,0.00199,0,101.62262,0.0199,0
"D06","UKFS","000","025","2018-02-01T14:00:00Z","2018-02-01T14:30:00Z",97.63469,97.57212,97.68004,0.00151,180,0.01815,0.0029,0,101.72819,0.02039,0
